A Christmas Carol [One Voice Recordings Edition],['Charles Dickens']
A Farewell to Arms,['Ernest Hemingway']
A Portrait of the Artist As a Young Man,['James Joyce']
A Portrait of the Artist as a Young Man,['James Joyce']
A Tree Grows in Brooklyn,['Betty Smith']
"A Tree Grows in Brooklyn by Smith, Betty",['Betty Smith']
ANIMAL FARM - A Fairy Story (Time Reading Program Special Edition),['Gillian Fenwick']
Adventures of Huckleberry Finn,['Mark Twain']
All Creatures Great and Small,['James Herriot']
All quiet on the western front;,['Erich Maria Remarque']
Animal Farm 50TH Anniversary Edition,['George Orwell']
Black Notice (Random House Large Print),['Patricia Daniels Cornwell']
Black and Blue: A Novel (Oprah's Book Club),['Anna Quindlen']
"Brave new world,: A novel",['Aldous Huxley']
Bridge to Terabithia,['Andrew Davenport']
Catch 22,['Joseph Heller']
Catch 22 (catch-22),['Joseph Heller']
Executive Orders,['Tom Clancy']
Foundation And Empire,['D. G. Leahy']
Foundation and Empire,['D. G. Leahy']
Frankenstein (Running Press classics),['Mary Wollstonecraft Shelley']
Harry Potter and the Chamber of Secrets,['J. K. Rowling']
Heart of Darkness,['Joseph Conrad']
Heart of Darkness (Everyman Classics),['Joseph Conrad']
I Am Legend,['Richard Matheson']
I am Legend,['Richard Matheson']
I know this much is true,['Wally Lamb']
Jane Eyre (Everyman's Classics),['Charlotte Brontë']
Jane Eyre (New Windmill),['Charlotte Brontë']
Jude the Obscure,['Thomas Hardy']
Killing Time,['Paul Feyerabend']
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",['Laura Esquivel']
Little Women (Courage giant classics),['Louisa May Alcott']
Memoirs of a Geisha (Signed),['Arthur Golden']
Naked in Death,['J. D. Robb']
"No man knows my history: The life of Joseph Smith, the Mormon prophet",['Fawn McKay Brodie']
OF MICE AND MEN,['John Steinbeck']
Of Mice And Men,['John Steinbeck']
One Hundred Years of Solitude,['Gabriel García Márquez']
Point of origin,['Patricia Daniels Cornwell']
Pride and Prejudice,['Jane Austen']
Red Tent,['Anita Diamant']
"Rich Dad, Poor Dad",['Sharon L. Lechter']
Slaughter-House Five,['Kurt Vonnegut']
Slaughter-House Five (First paperback edition),['Kurt Vonnegut']
Slaughterhouse-Five,['Kurt Vonnegut']
Slaughterhouse-Five : Or the Children's Crusade,['Kurt Vonnegut']
"Slaughterhouse-five: Or, The children's crusade : a duty-dance with death",['Kurt Vonnegut']
The Adventures of Huckleberry Finn,['Mark Twain']
The Adventures of Tom Sawyer (Courage Literary Classics),['Mark Twain']
The Bluest Eye (G K Hall Large Print Book Series),['Toni Morrison']
The Electric Kool-Aid Acid Test,['Tom Wolfe']
The Girl Who Loved Tom Gordon,['Stephen King']
The Good Earth,"['Pearl S. Buck', 'Emily Hutchinson']"
The Grapes of Wrath,['John Steinbeck']
The Grapes of Wrath (Steinbeck Essentials),['John Steinbeck']
The Hitchhiker's Guide to the Galaxy,['Douglas Adams']
The Killer Angels (Turtleback School & Library Binding Edition),['Michael Shaara']
The Lord of the Rings (3 Volume Set),['J. R. R. Tolkien']
The Pearl,['John Steinbeck']
The Red Tent (Bestselling Backlist),['Anita Diamant']
"The Scarlet Letter (Lake Illustrated Classics, Collection 2)",['Thomas Hardy']
The Secret Garden,['Frances Hodgson Burnett']
The Stand. The Complete and Uncut Edition,['Stephen King']
The grapes of wrath,['John Steinbeck']
The hitchhiker's guide to the galaxy,['Douglas Adams']
"Ulysses,",['James Joyce']
Who Moved My Cheese? An-Amazing Way to Deal with Change in Your Work and in Your Life,['Spencer Johnson']
Wuthering Heights (New Windmill),['Emily Brontë']
Wuthering Heights (Signet classics),['Emily Brontë']
